X,Y
-0.0251966,0.0142846
-0.24594,0.185944
-12.466,-76.5587
16.5048,36.9966
-0.00390196,-0.072341
0.111749,-0.332701
0.0911596,-0.300979
0.0176452,-0.24976
0.0349117,-0.280581
0.000854299,-0.0669926
0.0100701,-0.314276
0.027347,-0.00120887
0.161541,0.0421931
0.00908938,0.0258684
0.096309,0.173558
-0.020164,-0.047322
0.218842,-0.113754
0.0496247,-0.239736
-8.82225,11.5946
-0.0508912,0.0138071
-1.92668,4.01346
-0.608404,1.81608
0.330075,0.801406
-0.249438,-0.029354
-0.0360071,-0.352409
-63.5566,45.0686
-0.412001,-0.0891254
-0.0348119,-0.0264378
-0.167255,-0.124783
-0.00522876,-0.0112663
17.0887,3.86556
81.3422,14.3645
-0.0311285,-0.0231991
-0.892495,-0.388428
25.0782,-16.5191
0.00135127,0.0145977
0.0131176,0.0597348
0.00510652,0.0231042
0.0328943,0.103862
-0.010586,0.0201612
-0.0515301,0.0870844
10.1517,16.2096
-0.0183278,-0.0264918
-0.0578432,-0.236051
31.2087,42.7271
-0.00970141,0.0851951
-0.153096,0.32776
1.93321,14.1617
2.16701,12.4429
77.1252,-92.967
7.81764,-8.564
41.5607,-39.6859
0.0336683,-0.0212245
0.221876,-0.168012
-0.0154958,-0.0190789
-0.0523136,-0.07054
10.1625,0.340127
-0.00115145,0.0138514
0.00931044,0.0297833
-0.0039819,-0.0433407
0.0549745,-0.257322
-0.020235,0.0204837
-0.269596,0.278088
-40.4259,28.9802
-86.6279,45.8145
-0.0173173,-0.0112592
-0.0535674,-0.0554184
-0.0425377,-0.0189311
-0.193675,-0.086124
-0.0283864,-0.0217159
-0.146602,-0.0323588
-0.00856439,0.0153159
0.0177735,0.0108536
0.0178144,0.000158144
0.0659001,-0.0216865
-0.015462,-0.021541
-0.101651,-0.142181
0.00116027,0.0335501
-0.054102,0.150939
-0.0372224,-0.0463931
-0.663152,-0.0341718
-0.651669,-0.0530564
-0.627944,-0.0758318
-0.0278276,-0.0265762
-0.186127,-0.125795
0.0147421,0.00629706
0.0493126,0.0573113
0.0217299,-0.0124379
0.103208,-0.0534713
0.0222883,-0.0124636
0.116138,0.0404243
0.0252168,0.00957701
0.120649,0.206412
-18.6197,-2.09098
-0.00474027,-0.000784154
-0.0556432,0.0187342
91.1597,43.3232
-0.0837912,0.0911721
-0.329494,0.470551
-0.395623,0.515047
-0.510417,0.611731
-0.0889773,0.088787
-0.447584,0.449014
0.0256316,-0.0105081
0.0350758,-0.0867737
0.0988847,-0.0320813
-7.19156,-26.7892
-0.00425315,0.0214114
0.0815173,0.113541
-0.00642034,-0.0066257
-0.104522,-0.134584
0.018542,0.0225275
-0.0597557,0.14159
0.0228613,0.00338417
0.116186,0.0443126
0.0685106,-0.0534824
0.462537,-0.289513
39.3615,5.68097
-0.0295039,-0.00972007
-0.169344,-0.161493
0.0361898,-0.0217516
0.124677,-0.126411
0.00541735,-0.0249271
0.00959975,-0.0912338
24.1532,-88.2801
-0.0555386,-0.00722545
-0.371236,-0.127629
7.97635,3.05668
38.3286,13.0755
39.7979,15.3125
41.5119,11.4585
19.6737,-34.3904
21.5938,-5.62914
-0.017047,-0.0159117
-0.0612077,-0.0819127
-0.00728015,0.0131263
-0.0129334,0.0667193
-0.010113,0.000639014
-0.165526,0.0452068
-2.13002,-30.2712
0.0152209,-0.0562528
0.0919709,-0.368743
-0.0240267,-0.035418
-0.10866,-0.145798
-0.137149,-0.29123
-0.137905,-0.203277
0.00703976,-0.00389995
0.0557425,-0.0244048
-0.00347256,-0.0203011
-0.00354613,-0.113843
0.00306454,-0.0290135
0.0580049,-0.19872
0.0130916,-0.0117494
0.132649,-0.0918559
-0.00632509,0.0112221
-0.248847,0.181033
-0.204292,0.209778
-0.102447,-0.0165354
0.00278929,-0.0358631
0.00541939,-0.14987
0.0397182,-0.0485619
0.1758,-0.205904
-0.0248411,0.0212437
-0.0592037,0.163742
0.0366952,0.0147109
0.281256,0.270764
0.0155841,0.055052
0.102371,0.327748
-0.0060399,-0.00289287
0.0133626,-0.0542729
0.0100294,-0.00536396
0.0630146,-0.00228149
-0.13602,21.7181
-0.0375237,-0.0261644
-0.158989,-0.0782936
-0.0190623,0.010126
-0.123492,0.000936681
-0.170742,0.103882
0.00630429,0.00148858
-0.0120942,0.0662407
55.4996,-4.28925
0.0181569,0.00871802
0.126838,0.168663
